"","year","treatment","school_code","grade","students_enrolled","students_tested","mean_scale_score","std_score","frl_pt","mll_pt","b_pt","h_pt","a_pt","w_pt"
"1",2018,1,24233496,8,423,413,2520.3,-0.17,0.947990543735225,0.08274231678487,NA,0.938534278959811,NA,NA
"2",2018,0,24233528,8,197,194,2525.6,-0.09,0.563451776649746,NA,0.563451776649746,0.263959390862944,NA,0.111675126903553
"3",2018,1,24242116,7,13,13,2295.2,-3.86,1,NA,NA,0.846153846153846,NA,NA
"4",2018,0,24245576,7,140,134,2423.5,-1.65,0.921428571428571,0.142857142857143,0.542857142857143,0.392857142857143,NA,NA
"5",2018,1,24245576,8,208,204,2431.5,-1.5,0.980769230769231,0.0528846153846154,0.548076923076923,0.403846153846154,NA,NA
"6",2018,0,24245640,7,561,549,2541.5,0.39,0.777183600713013,0.0499108734402852,0.105169340463458,0.554367201426025,0.229946524064171,0.0463458110516934
"7",2018,1,24245640,8,598,582,2552.5,0.31,0.775919732441472,0.0468227424749164,0.0936454849498328,0.54180602006689,0.25752508361204,0.0551839464882943
"8",2018,0,24245776,6,204,203,2490.2,-0.32,0.975490196078431,0.205882352941176,NA,0.970588235294118,NA,NA
"9",2018,1,24245876,6,372,368,2457.8,-0.92,0.96505376344086,0.169354838709677,NA,0.962365591397849,NA,NA
"10",2018,0,24245940,6,424,420,2480,-0.51,0.660377358490566,0.0424528301886792,0.0400943396226415,0.667452830188679,0.0613207547169811,0.169811320754717
"11",2018,1,24245940,8,343,341,2513,-0.28,0.670553935860058,0.0379008746355685,0.0408163265306122,0.670553935860058,0.075801749271137,0.14868804664723
"12",2018,0,24246004,7,306,304,2468.3,-0.88,0.931372549019608,0.156862745098039,0.0522875816993464,0.76797385620915,NA,0.11437908496732
"13",2018,1,24246076,7,583,558,2491.8,-0.47,0.922813036020583,0.149228130360206,0.0257289879931389,0.672384219554031,0.032590051457976,0.241852487135506
"14",2018,0,24246108,7,230,224,2418.5,-1.74,0.991304347826087,0.247826086956522,0.221739130434783,0.760869565217391,NA,NA
"15",2018,1,24246108,8,259,248,2428.8,-1.54,0.972972972972973,0.193050193050193,0.231660231660232,0.760617760617761,NA,NA
"16",2018,0,24246304,6,387,385,2446.3,-1.14,0.870801033591731,0.0904392764857881,0.242894056847545,0.65891472868217,0.0387596899224806,NA
"17",2018,1,24246304,8,430,422,2482.2,-0.74,0.872093023255814,0.0837209302325581,0.279069767441861,0.651162790697674,NA,NA
"18",2018,0,24246336,7,639,633,2563.8,0.77,0.571205007824726,0.0500782472613459,0.0672926447574335,0.363067292644758,0.104851330203443,0.405320813771518
"19",2018,1,24246400,8,389,385,2492.5,-0.59,0.917737789203085,0.154241645244216,NA,0.93573264781491,NA,NA
"20",2018,0,24250796,6,551,547,2541,0.62,0.526315789473684,0.0635208711433757,0.0399274047186933,0.468239564428312,0.14519056261343,0.286751361161524
"21",2018,1,24265176,7,151,148,2493.5,-0.44,0.834437086092715,NA,0.483443708609271,0.496688741721854,NA,NA
"22",2018,0,24441096,6,93,92,2503,-0.08,0.967741935483871,0.118279569892473,NA,0.956989247311828,NA,NA
"23",2018,1,24450144,7,133,130,2507,-0.21,0.977443609022556,0.240601503759399,NA,0.962406015037594,NA,NA
"24",2018,0,24450144,8,126,126,2466.6,-0.98,0.984126984126984,0.158730158730159,NA,0.952380952380952,NA,NA
"25",2018,1,24463176,6,339,334,2434.5,-1.36,0.958702064896755,0.194690265486726,0.0766961651917404,0.91740412979351,NA,NA
"26",2018,0,24463176,7,418,408,2429.8,-1.54,0.971291866028708,0.220095693779904,0.0885167464114833,0.899521531100478,NA,NA
"27",2018,1,24467000,8,111,111,2536,0.06,0.873873873873874,NA,NA,0.945945945945946,NA,NA
"28",2018,0,24470668,6,61,60,2499.2,-0.15,1,0.327868852459016,NA,0.967213114754098,NA,NA
"29",2018,1,24470668,8,60,60,2515.6,-0.24,0.983333333333333,0.216666666666667,NA,0.983333333333333,NA,NA
"30",2018,0,24472744,6,137,137,2443,-1.2,0.956204379562044,0.226277372262774,NA,0.978102189781022,NA,NA
"31",2018,1,24472744,8,195,193,2499.9,-0.48,0.979487179487179,0.0666666666666667,NA,1,NA,NA
"32",2018,0,24476176,6,46,45,2507.7,0.01,0.58695652173913,0.326086956521739,NA,0.869565217391304,NA,NA
"33",2018,1,24476176,8,25,25,2641.5,1.64,0.84,NA,NA,0.92,NA,NA
"34",2018,0,7724216,7,86,86,2510.7,-0.14,0.779069767441861,NA,0.162790697674419,0.63953488372093,NA,0.127906976744186
"35",2018,1,7726864,7,61,61,2533.2,0.25,0.754098360655738,NA,NA,0.459016393442623,NA,0.377049180327869
"36",2018,0,7730160,7,336,333,2553.1,0.59,0.5,NA,NA,0.485119047619048,0.0833333333333333,0.169642857142857
"37",2018,1,7731388,8,243,238,2550.6,0.28,0.57201646090535,NA,0.197530864197531,0.378600823045267,0.139917695473251,0.255144032921811
"38",2018,0,7732172,6,16,16,2534.3,0.5,0.8125,NA,NA,0.875,NA,NA
"39",2018,1,7858932,7,180,101,2354.7,-2.84,0.627777777777778,0.205555555555555,0.3,0.45,NA,0.233333333333333
"40",2018,0,7984460,8,210,173,2440.1,-1.37,0.814285714285714,0.0523809523809524,0.157142857142857,0.685714285714286,NA,0.0904761904761905
"41",2018,1,24062820,6,29,25,2453.4,-1,0.96551724137931,NA,NA,0.96551724137931,NA,NA
"42",2018,0,24063780,6,30,30,2467,-0.75,0.966666666666667,NA,NA,0.866666666666667,NA,NA
"43",2018,1,24064564,8,55,55,2594.5,0.94,0.963636363636364,NA,NA,1,NA,NA
"44",2018,0,24065396,6,98,98,2520.5,0.24,0.642857142857143,NA,NA,0.489795918367347,NA,NA
"45",2018,1,24065884,6,32,32,2547.9,0.75,0.65625,NA,NA,0.53125,NA,NA
"46",2018,0,24067208,6,34,34,2475.4,-0.6,0.911764705882353,NA,NA,0.794117647058823,NA,NA
"47",2018,1,24067540,6,126,125,2424.6,-1.54,0.968253968253968,0.150793650793651,NA,0.984126984126984,NA,NA
"48",2018,0,24067572,6,16,16,2466.1,-0.77,0.75,NA,NA,0.8125,NA,NA
"49",2018,1,24068920,6,46,46,2499.8,-0.14,0.978260869565217,NA,NA,0.891304347826087,NA,NA
"50",2018,0,24069188,6,22,22,2509.4,0.04,1,NA,NA,1,NA,NA
"51",2018,1,24069188,8,20,20,2570.1,0.57,0.85,NA,NA,0.9,NA,NA
"52",2018,0,24069220,6,35,35,2476.4,-0.58,0.8,NA,NA,0.857142857142857,NA,NA
"53",2018,1,24069416,6,64,63,2467.9,-0.74,0.8125,NA,NA,0.796875,NA,NA
"54",2018,0,24069784,6,80,80,2502.6,-0.09,0.95,NA,NA,0.975,NA,NA
"55",2018,1,24069948,6,43,43,2487.8,-0.37,1,NA,NA,1,NA,NA
"56",2018,0,24070676,6,43,43,2473.9,-0.62,1,NA,NA,0.883720930232558,NA,NA
"57",2018,1,24071272,7,48,46,2532.4,0.23,0.791666666666667,NA,NA,0.416666666666667,NA,0.333333333333333
"58",2018,0,24071500,6,74,74,2484.9,-0.42,1,NA,NA,1,NA,NA
